X,Y,SUBTYPE
-121.91418,37.4317475,CHRISTIAN
-121.9026667,37.2418145,CHRISTIAN
-122.3740258,37.599325,CHRISTIAN
-121.9221677,37.3158153,CHRISTIAN
-122.0276581,36.9677169,JUDAIC
-121.875119,37.2939738,JUDAIC
-121.5060702,38.5708222,MUSLIM
-119.8256336,39.5032206,CHRISTIAN
-119.7861459,39.5064667,CHRISTIAN
-111.9643364,41.0376562,CHRISTIAN
-119.8516889,39.5415352,JUDAIC
-121.0690427,38.6347777,JUDAIC
-118.923566,35.3757703,CHRISTIAN
-121.0082418,37.664445,CHRISTIAN
-115.2222733,36.1269518,CHRISTIAN
-115.7641389,40.8358495,CHRISTIAN
-111.6439524,40.2639655,CHRISTIAN
-111.635212,40.2467155,CHRISTIAN
-111.6487525,40.2662418,CHRISTIAN
-111.660928,40.2438773,CHRISTIAN
-111.646807,40.2608976,CHRISTIAN
-111.677191,40.236925,CHRISTIAN
-111.6741719,40.2632876,CHRISTIAN
-111.6825982,40.2548092,CHRISTIAN
-111.6558559,40.2801375,CHRISTIAN
-111.6776157,40.2482149,CHRISTIAN
-111.6492019,40.2776274,CHRISTIAN
-111.7873354,40.6778066,CHRISTIAN
-119.8527972,36.8296434,CHRISTIAN
-111.8527022,40.7655613,CHRISTIAN
-121.2758156,38.1321709,CHRISTIAN
-119.0917178,35.3260873,CHRISTIAN
-115.1005225,35.9948938,JUDAIC
-121.409302,38.5774228,JUDAIC
-111.8422143,40.6299299,CHRISTIAN
-119.6753319,36.6326641,CHRISTIAN
-119.7884315,36.6521514,CHRISTIAN
-111.8356836,39.7077343,CHRISTIAN
-119.0809606,35.3548137,CHRISTIAN
-119.2414608,35.7727277,CHRISTIAN
-119.8098462,39.4903116,JUDAIC
-115.269188,36.2073841,JUDAIC
-111.8519843,40.6208701,CHRISTIAN
-111.8870278,40.6456996,CHRISTIAN
-111.8060771,40.6976779,CHRISTIAN
-120.0478133,39.2409378,JUDAIC
-121.4255437,38.4114235,CHRISTIAN
-121.1058224,38.6559583,CHRISTIAN
-121.3517967,38.5466129,CHRISTIAN
-121.4208423,38.6407177,CHRISTIAN
-116.9238115,44.0286085,CHRISTIAN
-115.2304982,36.2180616,CHRISTIAN
-111.9620122,40.5871786,CHRISTIAN
-121.3972156,38.4319378,CHRISTIAN
-121.3300961,38.616727,CHRISTIAN
-121.1390601,38.6766787,CHRISTIAN
-121.303422,38.5215449,CHRISTIAN
-111.9240209,40.7580604,CHRISTIAN
-121.3142364,38.669254,CHRISTIAN
-121.2740174,38.6401203,CHRISTIAN
-121.2935423,38.6446027,CHRISTIAN
-121.1839028,38.657624,MUSLIM
-121.1540465,38.6814881,CHRISTIAN
-111.9904403,40.6924251,CHRISTIAN
-119.4773629,37.2135097,BUDDHIST
-115.2520665,36.2040721,CHRISTIAN
-111.8906527,40.778586,CHRISTIAN
-111.6626327,35.1891509,BUDDHIST
-111.702617,35.0909058,CHRISTIAN
-121.3746497,36.8325651,CHRISTIAN
-121.1023455,38.9375013,CHRISTIAN
-121.0570383,38.9446741,CHRISTIAN
-111.9979155,40.7002785,CHRISTIAN
-121.2687011,37.9560882,CHRISTIAN
-121.3004943,37.9814,CHRISTIAN
-121.3024515,38.0174287,CHRISTIAN
-121.2228147,38.0246892,CHRISTIAN
-121.3373954,37.9596271,BUDDHIST
-121.2873817,37.9513787,CHRISTIAN
-120.6464095,35.2540231,BUDDHIST
-120.570474,34.9717134,BUDDHIST
-121.2565765,38.045957,CHRISTIAN
-120.9225164,37.6870543,HINDU
-121.3362178,38.0319088,CHRISTIAN
-121.255012,37.8619702,CHRISTIAN
-120.9857247,37.7961196,CHRISTIAN
-121.2155529,37.802195,CHRISTIAN
-121.2696004,38.133748,BUDDHIST
-121.1301507,37.7354436,CHRISTIAN
-121.2621839,37.9559903,CHRISTIAN
-121.2873436,37.9474611,BUDDHIST
-121.2998331,37.9629562,CHRISTIAN
-121.256518,37.9582262,CHRISTIAN
-121.3381439,37.9762944,BUDDHIST
-121.4260765,37.7065551,CHRISTIAN
-121.3340206,37.9650053,CHRISTIAN
-121.2983745,37.9855104,CHRISTIAN
-119.7360247,36.8455724,OTHER
-121.2821427,37.9558456,CHRISTIAN
-111.6707152,35.1677954,CHRISTIAN
-114.9759712,36.040298,CHRISTIAN
-119.8173617,39.5258843,CHRISTIAN
-119.8466402,39.5300872,CHRISTIAN
-112.2418211,42.1836013,BUDDHIST
-120.6370498,35.2626342,BUDDHIST
-111.6108502,35.2232549,BUDDHIST
-111.6553404,35.2007945,CHRISTIAN
-111.6048095,35.2214833,BUDDHIST
